source	age	pdens
c14bazAAR	55000	37.62172111388601
c14bazAAR	54900	16.732919001301767
c14bazAAR	54800	12.161100263635923
c14bazAAR	54700	10.273858713704232
c14bazAAR	54600	9.254885309085148
c14bazAAR	54500	8.62500220417041
c14bazAAR	54400	8.201333919633374
c14bazAAR	54300	7.905941624334132
c14bazAAR	54200	7.6993900792703105
c14bazAAR	54100	7.559451113259943
c14bazAAR	54000	7.4779717643059325
c14bazAAR	53900	7.446160679297652
c14bazAAR	53800	7.464896574510125
c14bazAAR	53700	7.530441098406072
c14bazAAR	53600	7.637433601995818
c14bazAAR	53500	7.768085399423022
c14bazAAR	53400	7.894008415118749
c14bazAAR	53300	8.01405418164677
c14bazAAR	53200	8.157256995698434
c14bazAAR	53100	8.311950162880636
c14bazAAR	53000	8.35811739041276
c14bazAAR	52900	8.199721827716923
c14bazAAR	52800	7.955562093614475
c14bazAAR	52700	7.737824948313627
c14bazAAR	52600	7.49530994950956
c14bazAAR	52500	7.1962473750289755
c14bazAAR	52400	6.932755650385915
c14bazAAR	52300	6.731488264256598
c14bazAAR	52200	6.543797011507622
c14bazAAR	52100	6.355608241844212
c14bazAAR	52000	6.1828037540294405
c14bazAAR	51900	6.029637976985278
c14bazAAR	51800	5.887875302196442
c14bazAAR	51700	5.776065620090427
c14bazAAR	51600	5.71380335991243
c14bazAAR	51500	5.705335969902071
c14bazAAR	51400	5.724727997623038
c14bazAAR	51300	5.73621942167541
c14bazAAR	51200	5.719951551113782
c14bazAAR	51100	5.662744174067783
c14bazAAR	51000	5.5898709596031315
c14bazAAR	50900	5.558744704975197
c14bazAAR	50800	5.583358346420283
c14bazAAR	50700	5.614712729298226
c14bazAAR	50600	5.63335966166954
c14bazAAR	50500	5.706939247787968
c14bazAAR	50400	5.806600844486411
c14bazAAR	50300	5.9208154109403335
c14bazAAR	50200	6.089670902256317
c14bazAAR	50100	6.30829619933385
c14bazAAR	50000	6.567776329137396
c14bazAAR	49900	6.854067396759182
c14bazAAR	49800	7.133835765997851
c14bazAAR	49700	7.367967709293291
c14bazAAR	49600	7.513807579047564
c14bazAAR	49500	7.572666339139453
c14bazAAR	49400	7.601859660921238
c14bazAAR	49300	7.59967911815563
c14bazAAR	49200	7.614746176786149
c14bazAAR	49100	7.679412230897132
c14bazAAR	49000	7.76581331217257
c14bazAAR	48900	7.882191227557927
c14bazAAR	48800	7.988088582018663
c14bazAAR	48700	8.135344038254628
c14bazAAR	48600	8.323073832248811
c14bazAAR	48500	8.592211010259549
c14bazAAR	48400	8.9837897382115
c14bazAAR	48300	9.375082310235848
c14bazAAR	48200	9.755802066283096
c14bazAAR	48100	10.146042929328162
c14bazAAR	48000	10.5843605043738
c14bazAAR	47900	11.044568318624718
c14bazAAR	47800	11.589284082079716
c14bazAAR	47700	12.096975951542776
c14bazAAR	47600	12.493581262078038
c14bazAAR	47500	12.785069493595008
c14bazAAR	47400	13.093620490605574
c14bazAAR	47300	13.20668896452785
c14bazAAR	47200	13.303645883339236
c14bazAAR	47100	13.43616641503098
c14bazAAR	47000	13.28294250721274
c14bazAAR	46900	12.52054647239734
c14bazAAR	46800	11.874531805481856
c14bazAAR	46700	12.093994387815314
c14bazAAR	46600	12.603832899695115
c14bazAAR	46500	12.809940678297853
c14bazAAR	46400	12.943920637625387
c14bazAAR	46300	13.300445405759294
c14bazAAR	46200	13.921891461254386
c14bazAAR	46100	14.699710639267446
c14bazAAR	46000	15.766752655316523
c14bazAAR	45900	17.262415575383045
c14bazAAR	45800	17.84697158324765
c14bazAAR	45700	17.913584605952913
c14bazAAR	45600	17.898118709826846
c14bazAAR	45500	17.95916410415817
c14bazAAR	45400	18.080177994954017
c14bazAAR	45300	18.10046359467181
c14bazAAR	45200	18.114944976925184
c14bazAAR	45100	18.2939720311399
c14bazAAR	45000	18.719600639285204
c14bazAAR	44900	19.562641787554096
c14bazAAR	44800	20.777820054969343
c14bazAAR	44700	22.49453714848431
c14bazAAR	44600	23.942454673979128
c14bazAAR	44500	24.969051726182325
c14bazAAR	44400	26.45019182439038
c14bazAAR	44300	27.880984264250433
c14bazAAR	44200	27.80370449355837
c14bazAAR	44100	26.76988262845655
c14bazAAR	44000	25.77295678887363
c14bazAAR	43900	25.334078807157624
c14bazAAR	43800	25.431358872964186
c14bazAAR	43700	25.30980614775064
c14bazAAR	43600	25.098984384115955
c14bazAAR	43500	24.988060130133647
c14bazAAR	43400	25.37453320399119
c14bazAAR	43300	26.98438443889928
c14bazAAR	43200	31.282318150148978
c14bazAAR	43100	39.14271501711075
c14bazAAR	43000	42.74629168011956
c14bazAAR	42900	40.06064214879217
c14bazAAR	42800	42.61455391867146
c14bazAAR	42700	47.13112169855977
c14bazAAR	42600	49.746813705190185
c14bazAAR	42500	48.10868799880963
c14bazAAR	42400	50.6922931326736
c14bazAAR	42300	54.97733727862994
c14bazAAR	42200	51.39445777458136
c14bazAAR	42100	45.73149064623706
c14bazAAR	42000	42.230524929141545
c14bazAAR	41900	39.57446594203073
c14bazAAR	41800	37.40869330001521
c14bazAAR	41700	36.06786466571392
c14bazAAR	41600	35.61248936568861
c14bazAAR	41500	35.31546841487674
