short_name	publication_method	source_of_data	name	url	publication_year	m49_region	region	period	n_dates	open	license	maintained	last_updated	c14bazAAR	intchron	citations	remarks
KatsianisEtAl2020	Published dataset	Literature review	Katsianis et al. 2020	https://rdr.ucl.ac.uk/articles/dataset/Dataset_for_An_Aegean_history_and_archaeology_written_through_radiocarbon_dates/12489137/1	2020	Southern Europe	Aegean	Any	3200	TRUE	CC BY	FALSE	2020	TRUE	FALSE	@KatsianisEtAl2020	
ArqueoData	Online database	Literature review	ArqueoData	https://www.arqueodata.com/	2021	Central America	Latin America	Any	800	TRUE	NA	TRUE	2021	FALSE	FALSE	@Alcantara2021	
caribbean-14C	Version-controlled repository	Literature review	caribbean-14C	https://github.com/philriris/caribbean-14C	2021	Caribbean	Caribbean	Any	2100	TRUE	Public Domain (CC0)	TRUE	2021	TRUE	FALSE	@Riris2021	Based on Napolitano et al. 2019
NERD	Version-controlled repository	Literature review	Near East Radiocarbon Dates (NERD)	https://github.com/apalmisano82/NERD	2021	Western Asia	Southwest Asia	15,000–1500 cal BP	11000	TRUE	CC BY	TRUE	2022	TRUE	FALSE	@PalmisanoEtAl2022a	
NeoNet	Published dataset	Literature review	NeoNet	https://doi.org/10.13131/archelogicadata-yb11-yb66	2021	Western Europe; Southern Europe	Mediterranean & Atlantic Europe	Any	2500	TRUE	CC BY	TRUE	2021	TRUE	FALSE	@HuetEtAl2022; @HuetEtAl2024	
NeolithicKoreaDemography	Published dataset	Literature review	Kim et al. 2021	https://github.com/ercrema/NeolithicKoreaDemography	2021	Eastern Asia	Korea	Neolithic	900	TRUE	CC BY	FALSE	2021	FALSE	FALSE	@KimEtAl2021	
CochraneEtAl2021	Published dataset	Literature review	Cochrane et al. 2021	https://doi.org/10.1371/journal.pone.0251407	2021	South−eastern Asia	Island Southeast Asia	Neolithic	100	TRUE	CC BY	FALSE	2021	FALSE	FALSE	@CochraneEtAl2021	
ANZCD	Online database	Literature review	Aotearoa New Zealand Radiocarbon Databas	https://www.waikato.ac.nz/research/research-services-facilities/radiocarbon-dating/research//nz-radiocarbon-database	2022	Australia and New Zealand	New Zealand	Any	4100	FALSE	NA	TRUE	2024	FALSE	FALSE	@PetcheyEtAl2022	No machine-readable access
AIDA	Version-controlled repository	Literature review	Archive of Italian Radiocarbon Dates (AIDA)	https://github.com/apalmisano82/AIDA	2022	Southern Europe	Italy	11,000–1500 uncal BP	4000	TRUE	CC BY	TRUE	2022	TRUE	FALSE	@PalmisanoEtAl2022	
p3k14c	Version-controlled repository	Literature review	p3k14c	https://www.p3k14c.org/	2022	NA	Global	Any	179700	TRUE	NA	TRUE	2022	TRUE	FALSE	@BirdEtAl2022	
